Url,Sale_Year,Model_Type_List,T/M_Drive_List,Weight_List,MSRP,Brand,Title,Model,Dimension,Wheelbase,Tread front/rear,Dimension(Interior),Weight,Body Type,Doors,Riding Capacity,Engine Model,Maximum Power,Displacement,Compression Ratio,Fuel Supply Equipment,Fuel Type,Cylinders,Maximum Torque,Bore×Stroke,Charger,Fuel Tank Equipment,Steering System,Suspension System(front),Breaking System(front),Tires Size(front),Minimum Turning Radius,Suspension System(rear),Breaking System(rear),Tires Size(rear),Driving Wheel,Transmission,LSD,Gear_ratio,Final Drive Gear Ratio,Datetime
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10124118/,Oct-19,GT LIMITED BLACK PACKAGE,6ATFR,1270kg,"¥3,487,000",TOYOTA,TOYOTA 86 GT LIMITED BLACK PACKAGE,4BA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1270kg,Coupe,2,4,FA20,200ps(147kW)/7000rpm,1998cc,-,-,-,-,20.9kg・m(205N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17 87W,5.4m,-,-,215/45R17 87W,FR,6AT,-,"1st Gear:3.538, 2nd Gear:2.060, 3rd Gear:1.404, 4th Gear:1.000, 5th Gear:0.713, 6th Gear:0.582, Reverse:3.168",4.1,11/24/2025 9:37
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10124142/,Oct-19,GR SPORT,6MTFR,1250kg,"¥3,850,000",TOYOTA,TOYOTA 86 GR SPORT,4BA-ZN6,4280×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1250kg,Coupe,2,4,FA20,207ps(152kW)/7000rpm,1998cc,-,-,-,-,21.6kg・m(212N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17,5.4m,-,-,215/45R17,FR,6MT,,"1st Gear:3.626, 2nd Gear:2.188, 3rd Gear:1.541, 4th Gear:1.213, 5th Gear:1.000, 6th Gear:0.767, Reverse:3.437",4.3,11/24/2025 9:37
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10124139/,Oct-19,GR SPORT,6ATFR,1270kg,"¥3,918,200",TOYOTA,TOYOTA 86 GR SPORT,4BA-ZN6,4280×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1270kg,Coupe,2,4,FA20,200ps(147kW)/7000rpm,1998cc,-,-,-,-,20.9kg・m(205N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17,5.4m,-,-,215/45R17,FR,6AT,,"1st Gear:3.538, 2nd Gear:2.060, 3rd Gear:1.404, 4th Gear:1.000, 5th Gear:0.713, 6th Gear:0.582, Reverse:3.168",4.1,11/24/2025 9:37
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10124137/,Oct-19,GR,6MTFR,1240kg,"¥5,060,000",TOYOTA,TOYOTA 86 GR,4BA-ZN6,4290×1790×1320mm,2570mm,1525/1540mm,1615×1490×1060mm,1240kg,Coupe,2,4,FA20,207ps(152kW)/7000rpm,1998cc,-,-,-,-,21.6kg・m(212N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17,5.4m,-,-,235/45R17,FR,6MT,-,"1st Gear:3.626, 2nd Gear:2.188, 3rd Gear:1.541, 4th Gear:1.213, 5th Gear:1.000, 6th Gear:0.767, Reverse:3.437",4.3,11/24/2025 9:37
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10119953/,Jul-19,GT BRITISH GREEN LIMITED Limited Model,6MTFR,1240kg,"¥3,251,880",TOYOTA,TOYOTA 86 GT BRITISH GREEN LIMITED,4BA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1240kg,Coupe,2,4,FA20,207ps(152kW)/7000rpm,1998cc,-,-,-,-,21.6kg・m(212N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17 87W,5.4m,-,-,215/45R17 87W,FR,6MT,-,"1st Gear:3.626, 2nd Gear:2.188, 3rd Gear:1.541, 4th Gear:1.213, 5th Gear:1.000, 6th Gear:0.767, Reverse:3.437",4.3,11/24/2025 9:37
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10119952/,Jul-19,GT BRITISH GREEN LIMITED Limited Model,6ATFR,1260kg,"¥3,318,840",TOYOTA,TOYOTA 86 GT BRITISH GREEN LIMITED,4BA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1260kg,Coupe,2,4,FA20,200ps(147kW)/7000rpm,1998cc,-,-,-,-,20.9kg・m(205N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17 87W,5.4m,-,-,215/45R17 87W,FR,6AT,-,"1st Gear:3.538, 2nd Gear:2.060, 3rd Gear:1.404, 4th Gear:1.000, 5th Gear:0.713, 6th Gear:0.582, Reverse:3.168",4.1,11/24/2025 9:38
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10119947/,Apr-19,G,6MTFR,1210kg,"¥2,623,320",TOYOTA,TOYOTA 86 G,4BA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1210kg,Coupe,2,4,FA20,207ps(152kW)/7000rpm,1998cc,-,-,-,-,21.6kg・m(212N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,205/55R16 91V,5.4m,-,-,205/55R16 91V,FR,6MT,-,"1st Gear:3.626, 2nd Gear:2.188, 3rd Gear:1.541, 4th Gear:1.213, 5th Gear:1.000, 6th Gear:0.767, Reverse:3.437",4.3,11/24/2025 9:38
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10119946/,Apr-19,G,6ATFR,1230kg,"¥2,647,080",TOYOTA,TOYOTA 86 G,4BA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1230kg,Coupe,2,4,FA20,200ps(147kW)/7000rpm,1998cc,-,-,-,-,20.9kg・m(205N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,205/55R16 91V,5.4m,-,-,205/55R16 91V,FR,6AT,,"1st Gear:3.538, 2nd Gear:2.060, 3rd Gear:1.404, 4th Gear:1.000, 5th Gear:0.713, 6th Gear:0.582, Reverse:3.168",4.1,11/24/2025 9:38
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10119945/,Apr-19,GT,6MTFR,1240kg,"¥2,981,880",TOYOTA,TOYOTA 86 GT,4BA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1240kg,Coupe,2,4,FA20,207ps(152kW)/7000rpm,1998cc,-,-,-,-,21.6kg・m(212N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17 87W,5.4m,-,-,215/45R17 87W,FR,6MT,-,"1st Gear:3.626, 2nd Gear:2.188, 3rd Gear:1.541, 4th Gear:1.213, 5th Gear:1.000, 6th Gear:0.767, Reverse:3.437",4.3,11/24/2025 9:38
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10119944/,Apr-19,GT,6ATFR,1260kg,"¥3,048,840",TOYOTA,TOYOTA 86 GT,4BA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1260kg,Coupe,2,4,FA20,200ps(147kW)/7000rpm,1998cc,-,-,-,-,20.9kg・m(205N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17 87W,5.4m,-,-,215/45R17 87W,FR,6AT,-,"1st Gear:3.538, 2nd Gear:2.060, 3rd Gear:1.404, 4th Gear:1.000, 5th Gear:0.713, 6th Gear:0.582, Reverse:3.168",4.1,11/24/2025 9:38
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10119951/,Apr-19,RACING Limited Model,6MTFR,1240kg,"¥3,147,120",TOYOTA,TOYOTA 86 RACING,4BA-ZN6,4240×1775×1315mm,2570mm,1520/1540mm,1615×1490×1060mm,1240kg,Coupe,2,4,FA20,207ps(152kW)/7000rpm,1998cc,-,-,-,-,21.6kg・m(212N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,205/55R16 91V,5.4m,-,-,205/55R16 91V,FR,6MT,-,"1st Gear:3.626, 2nd Gear:2.188, 3rd Gear:1.541, 4th Gear:1.213, 5th Gear:1.000, 6th Gear:0.767, Reverse:3.437",4.3,11/24/2025 9:38
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10119943/,Apr-19,GT LIMITED,6MTFR,1240kg,"¥3,183,840",TOYOTA,TOYOTA 86 GT LIMITED,4BA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1240kg,Coupe,2,4,FA20,207ps(152kW)/7000rpm,1998cc,-,-,-,-,21.6kg・m(212N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17 87W,5.4m,-,-,215/45R17 87W,FR,6MT,-,"1st Gear:3.626, 2nd Gear:2.188, 3rd Gear:1.541, 4th Gear:1.213, 5th Gear:1.000, 6th Gear:0.767, Reverse:3.437",4.3,11/24/2025 9:38
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10119942/,Apr-19,GT LIMITED,6ATFR,1260kg,"¥3,250,800",TOYOTA,TOYOTA 86 GT LIMITED,4BA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1260kg,Coupe,2,4,FA20,200ps(147kW)/7000rpm,1998cc,-,-,-,-,20.9kg・m(205N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17 87W,5.4m,-,-,215/45R17 87W,FR,6AT,-,"1st Gear:3.538, 2nd Gear:2.060, 3rd Gear:1.404, 4th Gear:1.000, 5th Gear:0.713, 6th Gear:0.582, Reverse:3.168",4.1,11/24/2025 9:38
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10119941/,Apr-19,GT LIMITED BLACK PACKAGE,6MTFR,1250kg,"¥3,356,640",TOYOTA,TOYOTA 86 GT LIMITED BLACK PACKAGE,4BA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1250kg,Coupe,2,4,FA20,207ps(152kW)/7000rpm,1998cc,-,-,-,-,21.6kg・m(212N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17 87W,5.4m,-,-,215/45R17 87W,FR,6MT,-,"1st Gear:3.626, 2nd Gear:2.188, 3rd Gear:1.541, 4th Gear:1.213, 5th Gear:1.000, 6th Gear:0.767, Reverse:3.437",4.3,11/24/2025 9:38
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10119940/,Apr-19,GT LIMITED BLACK PACKAGE,6ATFR,1270kg,"¥3,423,600",TOYOTA,TOYOTA 86 GT LIMITED BLACK PACKAGE,4BA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1270kg,Coupe,2,4,FA20,200ps(147kW)/7000rpm,1998cc,-,-,-,-,20.9kg・m(205N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17 87W,5.4m,-,-,215/45R17 87W,FR,6AT,-,"1st Gear:3.538, 2nd Gear:2.060, 3rd Gear:1.404, 4th Gear:1.000, 5th Gear:0.713, 6th Gear:0.582, Reverse:3.168",4.1,11/24/2025 9:38
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10119950/,Apr-19,GR SPORT,6MTFR,1250kg,"¥3,780,000",TOYOTA,TOYOTA 86 GR SPORT,4BA-ZN6,4280×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1250kg,Coupe,2,4,FA20,207ps(152kW)/7000rpm,1998cc,-,-,-,-,21.6kg・m(212N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17,5.4m,-,-,215/45R17,FR,6MT,,"1st Gear:3.626, 2nd Gear:2.188, 3rd Gear:1.541, 4th Gear:1.213, 5th Gear:1.000, 6th Gear:0.767, Reverse:3.437",4.3,11/24/2025 9:38
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10119949/,Apr-19,GR SPORT,6ATFR,1270kg,"¥3,846,960",TOYOTA,TOYOTA 86 GR SPORT,4BA-ZN6,4280×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1270kg,Coupe,2,4,FA20,200ps(147kW)/7000rpm,1998cc,-,-,-,-,20.9kg・m(205N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17,5.4m,-,-,215/45R17,FR,6AT,,"1st Gear:3.538, 2nd Gear:2.060, 3rd Gear:1.404, 4th Gear:1.000, 5th Gear:0.713, 6th Gear:0.582, Reverse:3.168",4.1,11/24/2025 9:38
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10119948/,Apr-19,GR,6MTFR,1240kg,"¥4,968,000",TOYOTA,TOYOTA 86 GR,4BA-ZN6,4290×1790×1320mm,2570mm,1525/1540mm,1615×1490×1060mm,1240kg,Coupe,2,4,FA20,207ps(152kW)/7000rpm,1998cc,-,-,-,-,21.6kg・m(212N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17,5.4m,-,-,235/45R17,FR,6MT,-,"1st Gear:3.626, 2nd Gear:2.188, 3rd Gear:1.541, 4th Gear:1.213, 5th Gear:1.000, 6th Gear:0.767, Reverse:3.437",4.3,11/24/2025 9:38
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10116542/,Jul-18,GR SPORT,6MTFR,1250kg,"¥3,780,000",TOYOTA,TOYOTA 86 GR SPORT,DBA-ZN6,4280×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1250kg,Coupe,2,4,FA20,207ps(152kW)/7000rpm,1998cc,-,-,-,-,21.6kg・m(212N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17,5.4m,-,-,215/45R17,FR,6MT,,"1st Gear:3.626, 2nd Gear:2.188, 3rd Gear:1.541, 4th Gear:1.213, 5th Gear:1.000, 6th Gear:0.767, Reverse:3.437",4.3,11/24/2025 9:38
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10116541/,Jul-18,GR SPORT,6ATFR,1270kg,"¥3,846,960",TOYOTA,TOYOTA 86 GR SPORT,DBA-ZN6,4280×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1270kg,Coupe,2,4,FA20,200ps(147kW)/7000rpm,1998cc,-,-,-,-,20.9kg・m(205N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17,5.4m,-,-,215/45R17,FR,6AT,,"1st Gear:3.538, 2nd Gear:2.060, 3rd Gear:1.404, 4th Gear:1.000, 5th Gear:0.713, 6th Gear:0.582, Reverse:3.168",4.1,11/24/2025 9:38
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10115460/,Apr-18,G,6MTFR,1210kg,"¥2,623,320",TOYOTA,TOYOTA 86 G,DBA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1210kg,Coupe,2,4,FA20,207ps(152kW)/7000rpm,1998cc,12.5,-,-,-,21.6kg・m(212N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,205/55R16 91V,5.4m,-,-,205/55R16 91V,FR,6MT,-,"1st Gear:3.626, 2nd Gear:2.188, 3rd Gear:1.541, 4th Gear:1.213, 5th Gear:1.000, 6th Gear:0.767, Reverse:3.437",4.3,11/24/2025 9:38
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10115459/,Apr-18,G,6ATFR,1230kg,"¥2,647,080",TOYOTA,TOYOTA 86 G,DBA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1230kg,Coupe,2,4,FA20,200ps(147kW)/7000rpm,1998cc,12.5,-,-,-,20.9kg・m(205N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,205/55R16 91V,5.4m,-,-,205/55R16 91V,FR,6AT,,"1st Gear:3.538, 2nd Gear:2.060, 3rd Gear:1.404, 4th Gear:1.000, 5th Gear:0.713, 6th Gear:0.582, Reverse:3.168",4.1,11/24/2025 9:38
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10115458/,Apr-18,GT,6MTFR,1240kg,"¥2,981,880",TOYOTA,TOYOTA 86 GT,DBA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1240kg,Coupe,2,4,FA20,207ps(152kW)/7000rpm,1998cc,12.5,-,-,-,21.6kg・m(212N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17 87W,5.4m,-,-,215/45R17 87W,FR,6MT,-,"1st Gear:3.626, 2nd Gear:2.188, 3rd Gear:1.541, 4th Gear:1.213, 5th Gear:1.000, 6th Gear:0.767, Reverse:3.437",4.3,11/24/2025 9:38
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10115457/,Apr-18,GT,6ATFR,1260kg,"¥3,048,840",TOYOTA,TOYOTA 86 GT,DBA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1260kg,Coupe,2,4,FA20,200ps(147kW)/7000rpm,1998cc,12.5,-,-,-,20.9kg・m(205N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17 87W,5.4m,-,-,215/45R17 87W,FR,6AT,-,"1st Gear:3.538, 2nd Gear:2.060, 3rd Gear:1.404, 4th Gear:1.000, 5th Gear:0.713, 6th Gear:0.582, Reverse:3.168",4.1,11/24/2025 9:38
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10115433/,Apr-18,RACING Limited Model,6MTFR,1240kg,"¥3,147,120",TOYOTA,TOYOTA 86 RACING,DBA-ZN6,4240×1775×1315mm,2570mm,1520/1540mm,1615×1490×1060mm,1240kg,Coupe,2,4,FA20,207ps(152kW)/7000rpm,1998cc,12.5,-,-,-,21.6kg・m(212N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,205/55R16 91V,5.4m,-,-,205/55R16 91V,FR,6MT,-,"1st Gear:3.626, 2nd Gear:2.188, 3rd Gear:1.541, 4th Gear:1.213, 5th Gear:1.000, 6th Gear:0.767, Reverse:3.437",4.3,11/24/2025 9:38
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10115456/,Apr-18,GT LIMITED,6MTFR,1240kg,"¥3,183,840",TOYOTA,TOYOTA 86 GT LIMITED,DBA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1240kg,Coupe,2,4,FA20,207ps(152kW)/7000rpm,1998cc,12.5,-,-,-,21.6kg・m(212N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17 87W,5.4m,-,-,215/45R17 87W,FR,6MT,-,"1st Gear:3.626, 2nd Gear:2.188, 3rd Gear:1.541, 4th Gear:1.213, 5th Gear:1.000, 6th Gear:0.767, Reverse:3.437",4.3,11/24/2025 9:38
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10115455/,Apr-18,GT LIMITED,6ATFR,1260kg,"¥3,250,800",TOYOTA,TOYOTA 86 GT LIMITED,DBA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1260kg,Coupe,2,4,FA20,200ps(147kW)/7000rpm,1998cc,12.5,-,-,-,20.9kg・m(205N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17 87W,5.4m,-,-,215/45R17 87W,FR,6AT,-,"1st Gear:3.538, 2nd Gear:2.060, 3rd Gear:1.404, 4th Gear:1.000, 5th Gear:0.713, 6th Gear:0.582, Reverse:3.168",4.1,11/24/2025 9:38
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10115454/,Apr-18,GT LIMITED BLACK PACKAGE,6MTFR,1250kg,"¥3,356,640",TOYOTA,TOYOTA 86 GT LIMITED BLACK PACKAGE,DBA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1250kg,Coupe,2,4,FA20,207ps(152kW)/7000rpm,1998cc,12.5,-,-,-,21.6kg・m(212N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17 87W,5.4m,-,-,215/45R17 87W,FR,6MT,-,"1st Gear:3.626, 2nd Gear:2.188, 3rd Gear:1.541, 4th Gear:1.213, 5th Gear:1.000, 6th Gear:0.767, Reverse:3.437",4.3,11/24/2025 9:38
